Week,TargetSubnet,TargetIP,Connections,Outbound,Inbound,TotalBytes,SourceIPs,SourcePorts,TargetPorts,Difference,Color
Feb 2020,1,21,43,4886568,4800416,9686984,2,7,1,86152,Out > In
Feb 2020,100,132,137,28763911,11761284,40525195,87,93,31,17002627,Out > In
Feb 2020,100,80,4,463774,233091,696865,4,4,2,230683,Out > In
Feb 2020,101,104,3,18783717,3624263,22407980,3,3,3,15159454,Out > In
Feb 2020,101,105,10,112483655,9693857,122177512,2,10,10,102789798,Out > In
Feb 2020,101,160,367,1568443035,100069158,1668512193,192,289,4,1468373877,Out > In
Feb 2020,101,171,1,2124636,489204,2613840,1,1,1,1635432,Out > In
Feb 2020,101,175,1,45255,109841,155096,1,1,1,64586,In > Out
Feb 2020,101,176,1,65203848,38694344,103898192,1,1,1,26509504,Out > In
Feb 2020,101,186,5,84151352,4831501,88982853,2,5,1,79319851,Out > In
Feb 2020,101,204,1,428552,127128,555680,1,1,1,301424,Out > In
Feb 2020,101,208,8,6709800,128554,6838354,5,8,1,6581246,Out > In
Feb 2020,101,211,5,15462076,3769386,19231462,1,5,1,11692690,Out > In
Feb 2020,101,215,1,92240,89472,181712,1,1,1,2768,Out > In
Feb 2020,101,217,4,449030998,15680997,464711995,2,4,4,433350001,Out > In
Feb 2020,101,218,2,83159982,1171159,84331141,1,2,2,81988823,Out > In
Feb 2020,101,224,1,4228,414196,418424,1,1,1,409968,In > Out
Feb 2020,101,231,2,2199957,589056,2789013,1,2,2,1610901,Out > In
Feb 2020,101,69,134,284899306,5434045,290333351,65,134,1,279465261,Out > In
Feb 2020,101,91,4,284393,7658075,7942468,2,3,4,7373682,In > Out
Feb 2020,102,102,211,1478337613,529926924,2008264537,64,210,1,948410689,Out > In
Feb 2020,103,231,335,180422970,67682571,248105541,159,231,1,112740399,Out > In
Feb 2020,103,237,6,4672870628,67381640,4740252268,1,6,6,4605488988,Out > In
Feb 2020,103,246,1,52107,145808,197915,1,1,1,93701,In > Out
Feb 2020,104,108,3,541088916,6838622,547927538,3,3,3,534250294,Out > In
Feb 2020,104,111,3,6165320053,2203665461,8368985514,2,3,2,3961654592,Out > In
Feb 2020,104,127,2,875567674,8474898,884042572,2,2,1,867092776,Out > In
Feb 2020,104,152,1,28992014,77646877,106638891,1,1,1,48654863,In > Out
Feb 2020,104,161,9,16590345,22221248,38811593,1,9,1,5630903,In > Out
Feb 2020,104,163,1,25114007,1187242,26301249,1,1,1,23926765,Out > In
Feb 2020,104,211,10,8426509,18629334,27055843,3,10,3,10202825,In > Out
Feb 2020,104,224,1,4288577,3937868,8226445,1,1,1,350709,Out > In
Feb 2020,104,85,1,15372,144080,159452,1,1,1,128708,In > Out
Feb 2020,104,96,1,10647927,2949096,13597023,1,1,1,7698831,Out > In
Feb 2020,109,188,4,1535470079,1293889346,2829359425,2,4,4,241580733,Out > In
Feb 2020,110,161,5,3494823,363565,3858388,2,5,2,3131258,Out > In
Feb 2020,111,5,56,174918754,136664860,311583614,20,32,16,38253894,Out > In
Feb 2020,112,100,2,35630890,89735005,125365895,2,2,2,54104115,In > Out
Feb 2020,112,102,1,291513,606734,898247,1,1,1,315221,In > Out
Feb 2020,112,104,36,195467,5248111,5443578,36,33,8,5052644,In > Out
Feb 2020,112,107,2,167908533,120701957,288610490,2,2,2,47206576,Out > In
Feb 2020,112,111,15,1632902152,426643923,2059546075,8,10,4,1206258229,Out > In
Feb 2020,112,112,9,146238672,155281832,301520504,4,9,5,9043160,In > Out
Feb 2020,112,114,1,455471,670761,1126232,1,1,1,215290,In > Out
Feb 2020,112,115,260,1558061610,3382340318,4940401928,184,178,3,1824278708,In > Out
Feb 2020,112,119,2,158898009,418431362,577329371,2,2,1,259533353,In > Out
Feb 2020,112,123,1,13099761,12337508,25437269,1,1,1,762253,Out > In
Feb 2020,112,129,2,559156,1269397,1828553,2,2,2,710241,In > Out
Feb 2020,112,130,4,141014370,95356206,236370576,3,4,4,45658164,Out > In
Feb 2020,112,131,8,6253936,6279958,12533894,5,5,6,26022,In > Out
Feb 2020,112,133,2,4983817,6149071,11132888,2,1,1,1165254,In > Out
Feb 2020,112,134,1,55990160,43973866,99964026,1,1,1,12016294,Out > In
Feb 2020,112,135,6,206964611,288353506,495318117,4,6,2,81388895,In > Out
Feb 2020,112,138,8,739228176,3225569794,3964797970,7,7,4,2486341618,In > Out
Feb 2020,112,140,2,706444,15325398,16031842,2,2,2,14618954,In > Out
Feb 2020,112,141,5,14993066,52188424,67181490,5,5,5,37195358,In > Out
Feb 2020,112,145,10,613365696,561259755,1174625451,9,9,10,52105941,Out > In
Feb 2020,112,147,3,36827719,319846,37147565,2,2,2,36507873,Out > In
Feb 2020,112,148,1,33425,176231,209656,1,1,1,142806,In > Out
Feb 2020,112,15,158,2254101345,3541688163,5795789508,97,156,2,1287586818,In > Out
Feb 2020,112,151,1,84453508,514676309,599129817,1,1,1,430222801,In > Out
Feb 2020,112,152,1,302734001,215604568,518338569,1,1,1,87129433,Out > In
Feb 2020,112,153,6,106308764,119096814,225405578,4,6,6,12788050,In > Out
Feb 2020,112,154,3,59028327,48931885,107960212,3,2,3,10096442,Out > In
Feb 2020,112,155,1,531716,553007,1084723,1,1,1,21291,In > Out
Feb 2020,112,159,2,76097898,109858529,185956427,2,2,2,33760631,In > Out
Feb 2020,112,162,1,29250,88314,117564,1,1,1,59064,In > Out
Feb 2020,112,164,1,69271,239145,308416,1,1,1,169874,In > Out
Feb 2020,112,166,12,22059480,22087046,44146526,12,8,3,27566,In > Out
Feb 2020,112,167,1,57482708,56931633,114414341,1,1,1,551075,Out > In
Feb 2020,112,168,1,28797,122360,151157,1,1,1,93563,In > Out
Feb 2020,112,170,2,424912,391931,816843,2,2,2,32981,Out > In
Feb 2020,112,171,12,289232893,142620635,431853528,6,11,10,146612258,Out > In
Feb 2020,112,173,8,562760820,1040580857,1603341677,5,4,4,477820037,In > Out
Feb 2020,112,174,1,688617,508159,1196776,1,1,1,180458,Out > In
Feb 2020,112,176,22,9849682,23105489,32955171,21,7,3,13255807,In > Out
Feb 2020,112,177,9,40757660,61727393,102485053,3,5,8,20969733,In > Out
Feb 2020,112,178,1,38812521,45247469,84059990,1,1,1,6434948,In > Out
Feb 2020,112,181,1,209209180,94537433,303746613,1,1,1,114671747,Out > In
Feb 2020,112,182,11,1299901208,1643919281,2943820489,4,4,1,344018073,In > Out
Feb 2020,112,183,2,318912,676902,995814,2,2,2,357990,In > Out
Feb 2020,112,184,3,1167612,995852,2163464,3,1,3,171760,Out > In
Feb 2020,112,186,2,566762,1338483,1905245,2,2,2,771721,In > Out
Feb 2020,112,188,2,137816837,58643843,196460680,2,2,2,79172994,Out > In
Feb 2020,112,189,66,47514337,86990748,134505085,48,39,5,39476411,In > Out
Feb 2020,112,190,1,2418371,2189553,4607924,1,1,1,228818,Out > In
Feb 2020,112,193,3,15477378,26740652,42218030,3,3,3,11263274,In > Out
Feb 2020,112,199,1,183361857,67243086,250604943,1,1,1,116118771,Out > In
Feb 2020,112,202,4,259978988,355780312,615759300,3,3,3,95801324,In > Out
Feb 2020,112,204,1,17259638,22883077,40142715,1,1,1,5623439,In > Out
Feb 2020,112,205,2,2865181,2255015,5120196,2,2,2,610166,Out > In
Feb 2020,112,206,1,525479,108856,634335,1,1,1,416623,Out > In
Feb 2020,112,207,2,28635652,98713806,127349458,2,2,2,70078154,In > Out
Feb 2020,112,208,7,8342401,15765174,24107575,5,6,7,7422773,In > Out
Feb 2020,112,211,76,4799779656,237587581,5037367237,62,61,8,4562192075,Out > In
Feb 2020,112,212,3,533849212,55800095,589649307,1,3,3,478049117,Out > In
Feb 2020,112,213,3,112654622,210185344,322839966,2,2,3,97530722,In > Out
Feb 2020,112,216,1,7424,138743,146167,1,1,1,131319,In > Out
Feb 2020,112,219,49,687356,16951209,17638565,49,47,8,16263853,In > Out
Feb 2020,112,22,1,254156925,268511452,522668377,1,1,1,14354527,In > Out
Feb 2020,112,220,3,176374,2264278,2440652,3,2,3,2087904,In > Out
Feb 2020,112,25,1,645425,576839,1222264,1,1,1,68586,Out > In
Feb 2020,112,30,3,880940720,845794243,1726734963,3,2,2,35146477,Out > In
Feb 2020,112,32,123,853876373,17211159,871087532,98,51,3,836665214,Out > In
Feb 2020,112,49,3,219813782,128174439,347988221,3,3,3,91639343,Out > In
Feb 2020,112,63,1,230742,662369,893111,1,1,1,431627,In > Out
Feb 2020,112,64,3,134911801,73714272,208626073,3,3,3,61197529,Out > In
Feb 2020,112,72,2,2953317,41239580,44192897,2,2,2,38286263,In > Out
Feb 2020,112,73,2,531345039,445820050,977165089,2,2,2,85524989,Out > In
Feb 2020,112,74,2,757779,541808,1299587,2,2,2,215971,Out > In
Feb 2020,112,76,1,75179,462778,537957,1,1,1,387599,In > Out
Feb 2020,112,88,1,861576,553315271,554176847,1,1,1,552453695,In > Out
Feb 2020,112,90,6,41651104,35209754,76860858,6,6,6,6441350,Out > In
Feb 2020,112,91,1,241415,175514,416929,1,1,1,65901,Out > In
Feb 2020,112,93,2,702407,2229447,2931854,2,2,2,1527040,In > Out
Feb 2020,112,94,1,38252855,39118838,77371693,1,1,1,865983,In > Out
Feb 2020,112,99,14,555638915,657102544,1212741459,10,11,12,101463629,In > Out
Feb 2020,114,110,1,1246060,78532,1324592,1,1,1,1167528,Out > In
Feb 2020,115,185,3,740432233,6314664,746746897,2,3,3,734117569,Out > In
Feb 2020,117,149,59,11782006,3753819,15535825,4,59,2,8028187,Out > In
Feb 2020,117,16,17,7118186,213542,7331728,1,17,1,6904644,Out > In
Feb 2020,117,177,31,3923712,5858669,9782381,1,1,1,1934957,In > Out
Feb 2020,117,208,27,392403005,5202705,397605710,2,26,3,387200300,Out > In
Feb 2020,117,209,8,89032513,207561703,296594216,4,4,8,118529190,In > Out
Feb 2020,117,236,93,25242781,3967861,29210642,7,93,2,21274920,Out > In
Feb 2020,117,238,4,376000,373384,749384,1,1,1,2616,Out > In
Feb 2020,117,254,427,758973360,27954436,786927796,56,359,1,731018924,Out > In
Feb 2020,117,50,209,339717086,17631387,357348473,1,57,205,322085699,Out > In
Feb 2020,117,61,4,100487752,16344732,116832484,1,1,1,84143020,Out > In
Feb 2020,117,76,86,36745156,24401904,61147060,1,1,1,12343252,Out > In
Feb 2020,118,128,3,1541383,814430,2355813,1,1,3,726953,Out > In
Feb 2020,118,143,58,1434032,12227600,13661632,2,1,1,10793568,In > Out
