Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,APPLE,14034,37848835012,648662093917,686510928929,315,559,9586,20
Feb 2020,AKAMAI,80747,4437548246,252799345799,257236894045,804,2575,25240,8
Feb 2020,NETFLIX,7368,3638730786,180679687657,184318418443,115,198,5873,2
Feb 2020,CLOUDFLARENET,232737,3781766640,125456885177,129238651817,484,2041,29652,14
Feb 2020,EDGECAST,12277,1227728470,125590135967,126817864437,652,172,8792,2
Feb 2020,GOOGLE,68165,8697833622,114740085522,123437919144,659,1259,20656,67
Feb 2020,VALVE-CORPORATION,1381,1802331002,111983262217,113785593219,29,28,1334,18
Feb 2020,AMAZON,62045,23803443297,85862927355,109666370652,646,4411,26491,44
Feb 2020,MICROSOFT,59101,34225604988,70893261307,105118866295,715,619,17628,30
Feb 2020,CANARIE,19401,1543231258,99248271495,100791502753,490,6,12012,2
Apr 2020,APPLE,4227,19048380291,644371952310,663420332601,117,238,3787,8
Apr 2020,AKAMAI,69343,4308009375,220819651623,225127660998,483,1456,27137,3
Apr 2020,CLOUDFLARENET,420493,5467959388,189524742987,194992702375,141,993,29024,7
Apr 2020,HIGHWINDS,11499,2646738357,143405720407,146052458764,312,55,7584,2
Apr 2020,LEVEL3,9290,1723336267,119665030042,121388366309,273,132,6382,2
Apr 2020,GOOGLE,39963,5886704329,102669029612,108555733941,296,625,19383,14
Apr 2020,FASTLY,111878,1986609848,106266639500,108253249348,137,213,28875,2
Apr 2020,EDGECAST,10376,1376928364,106374124393,107751052757,346,101,7285,2
Apr 2020,CANARIE,3036,697808855,66360570014,67058378869,164,6,2819,2
Apr 2020,AMAZON,51161,5061825826,54255036447,59316862273,236,2926,24936,47
Sept 2020,APPLE,23768,59566697417,1860679166003,1920245863420,218,369,12974,18
Sept 2020,AKAMAI,111097,7632011141,371377379355,379009390496,550,2388,29833,3
Sept 2020,AMAZON,98131,30713255932,267320568283,298033824215,413,5117,31228,32
Sept 2020,NETFLIX,4510,3191969885,283837055854,287029025739,68,214,4148,2
Sept 2020,CLOUDFLARENET,464875,6229178967,240738216075,246967395042,254,1917,29632,10
Sept 2020,DROPBOX,19308,27562685563,210845756058,238408441621,78,22,11408,1
Sept 2020,GOOGLE,99272,27326284800,207124306664,234450591464,409,1164,27942,17
Sept 2020,EDGECAST,14809,1711031391,148009661712,149720693103,440,138,9790,2
Sept 2020,CANARIE,7510,1592567287,133822091112,135414658399,327,6,6217,2
Sept 2020,MICROSOFT,79218,51402802088,79482946646,130885748734,500,794,18017,18
Sept 2021,AKAMAI,89258,6271315908,336708489378,342979805286,615,1991,23833,4
Sept 2021,AMAZON,73699,33771154083,183887523809,217658677892,534,4289,25620,75
Sept 2021,GOOGLE,96228,29517154903,143528243442,173045398345,465,977,25295,15
Sept 2021,HIGHWINDS,8257,2358878471,144828641152,147187519623,391,66,6440,2
Sept 2021,CLOUDFLARENET,338724,3176936477,134812227141,137989163618,344,1996,30004,11
Sept 2021,APPLE,17594,43598236122,93968028536,137566264658,298,311,11144,21
Sept 2021,NETFLIX,4165,1668668714,132502988989,134171657703,71,207,3801,1
Sept 2021,FASTLY,53850,2099145015,109729384160,111828529175,310,329,25580,2
Sept 2021,EDGECAST,10784,1255681967,88188002152,89443684119,408,119,7929,2
Sept 2021,CANARIE,17361,1304195349,88016106458,89320301807,209,2,12098,2
