Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,VoxilityLLP,23,39086899017,51794580751,90881479768,3,4,3,18
Feb 2020,AKAMAI,16067,793589763,54858975446,55652565209,192,1081,10545,3
Feb 2020,APPLE,5225,17688367284,28048915480,45737282764,56,360,4465,13
Feb 2020,NETFLIX,2386,1041429102,37766008004,38807437106,9,175,2290,1
Feb 2020,AMAZON,7686,1682903145,25195900087,26878803232,147,1453,6758,45
Feb 2020,LeaseWebNetherlandsB.V.,25,130955984,25476292141,25607248125,3,23,25,1
Feb 2020,COGENT-174,133,239332520,24871033973,25110366493,11,16,133,3
Feb 2020,GOOGLE,12967,1546185860,23233165630,24779351490,144,868,9959,8
Feb 2020,FASTLY,2334,425149620,18665181450,19090331070,100,179,2236,3
Feb 2020,BACOM,215,134873873,18565994401,18700868274,9,8,215,3
Apr 2020,LLNW,36482,3982777990,234207524436,238190302426,4,48,14654,2
Apr 2020,AKAMAI,20154,2662236407,199444750937,202106987344,96,762,12334,3
Apr 2020,VALVE-CORPORATION,1539,942606165,102408267108,103350873273,5,26,1516,9
Apr 2020,GOOGLE,12552,5262310597,96035619460,101297930057,45,561,9504,27
Apr 2020,AMAZON,8411,2907652591,68980477195,71888129786,60,1645,7165,18
Apr 2020,NETFLIX,3707,650737680,63125047022,63775784702,8,183,3499,1
Apr 2020,BACOM,710,439225874,57318111246,57757337120,6,8,706,2
Apr 2020,LEVEL3,3219,556501896,57191298714,57747800610,68,101,2868,2
Apr 2020,CANARIE,1667,359757971,38224698933,38584456904,31,6,1585,2
Apr 2020,APPLE,2740,10946698991,27226173036,38172872027,21,378,2554,6
Sept 2020,AKAMAI,11032,1756690444,151883727510,153640417954,90,774,8542,2
Sept 2020,AMAZON,7179,7684447180,134426710084,142111157264,81,1491,6509,6
Sept 2020,NETFLIX,2513,547131958,62350225973,62897357931,8,205,2366,1
Sept 2020,APPLE,5598,6982555920,55410310810,62392866730,20,147,4915,4
Sept 2020,LLNW,148,334771371,61797174828,62131946199,4,32,148,2
Sept 2020,GOOGLE,10998,14827736105,45198010986,60025747091,40,461,9081,17
Sept 2020,CANARIE,1602,416790494,54063882227,54480672721,54,3,1542,2
Sept 2020,FASTLY,2605,588637044,37649799185,38238436229,25,150,2504,2
Sept 2020,MICROSOFT,9253,23056644196,8563283748,31619927944,86,367,7535,10
Sept 2020,VALVE-CORPORATION,287,210463833,21581716834,21792180667,4,14,279,8
Sept 2021,AMAZON,10442,71317940266,39203688848,110521629114,56,1013,8822,20
Sept 2021,MICROSOFT,18257,73223411754,34091419860,107314831614,70,438,13778,6
Sept 2021,AKAMAI,9155,1072104906,62195448413,63267553319,75,578,7397,2
Sept 2021,FASTLY,1385,535673365,38555928107,39091601472,27,132,1358,2
Sept 2021,CANARIE,902,318376849,38235788192,38554165041,17,2,887,2
Sept 2021,DROPBOX,4130,1963925782,26255779968,28219705750,17,14,3688,1
Sept 2021,MEGALimited,72,230908915,24190189827,24421098742,1,13,72,3
Sept 2021,CLOUDFLARENET,2065,268481503,19389872891,19658354394,28,344,1993,2
Sept 2021,APPLE,2861,1003665968,13499786374,14503452342,21,121,2743,7
Sept 2021,NETFLIX,1013,87116035,11077699337,11164815372,2,145,993,1
