Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,GOOGLE,54683,1902598449625,74104246441,1976702696066,55,674,23572,9
Feb 2020,LESNET,247,1314080801,236316712917,237630793718,9,2,244,3
Feb 2020,CANARIE,11263,929827311,63724124719,64653952030,44,10,9678,2
Feb 2020,AKAMAI,36480,1116055163,61169539849,62285595012,77,1800,19178,2
Feb 2020,IWEB-AS,104,343241830,43020995649,43364237479,13,13,104,4
Feb 2020,REDHAT-0,177,169713624,22083658531,22253372155,6,9,177,2
Feb 2020,MICROSOFT,21730,7862842430,11661227907,19524070337,79,424,13919,8
Feb 2020,AMAZON,15793,1812762402,17568286271,19381048673,63,2584,11416,7
Feb 2020,EDGECAST,5936,172024374,14939103784,15111128158,66,131,5142,2
Feb 2020,FASTLY,11276,367690744,14224150300,14591841044,57,223,9043,2
Apr 2020,LESNET,218,3810556815,752983772514,756794329329,6,1,217,3
Apr 2020,AKAMAI,17455,823184958,77109456430,77932641388,68,532,12571,2
Apr 2020,REDHAT-0,34,181446832,33508754826,33690201658,5,3,34,2
Apr 2020,UWATERLOO,77,176278983,30698410523,30874689506,7,1,77,3
Apr 2020,EDGECAST,5678,240496677,27604386168,27844882845,52,46,4913,2
Apr 2020,LEVEL3,4232,246864632,27574700787,27821565419,45,63,3749,2
Apr 2020,GOOGLE,11230,1445300107,24397747802,25843047909,41,248,9315,4
Apr 2020,CANARIE,1718,350035933,20903738097,21253774030,21,6,1631,2
Apr 2020,DROPBOX,8721,1960100278,15518598785,17478699063,11,8,7349,1
Apr 2020,HIGHWINDS,3541,196041814,14511583516,14707625330,48,28,3181,2
Sept 2020,LESNET,353,10905403725,1346459448876,1357364852601,6,2,350,2
Sept 2020,USASK,21260,1476082965,190981801201,192457884166,1,1,10917,1001
Sept 2020,MICROSOFT,18216,45717205742,42014585437,87731791179,63,415,11611,10
Sept 2020,APPLE,2684,1435769562,82226524397,83662293959,13,147,2479,4
Sept 2020,AKAMAI,22090,1067323978,72034600518,73101924496,59,488,14718,2
Sept 2020,UWATERLOO,47,283563055,54490752597,54774315652,6,1,47,3
Sept 2020,REDHAT-3,95,302935348,50213718416,50516653764,6,5,95,2
Sept 2020,EDGECAST,8525,352830304,49914262464,50267092768,54,50,6942,2
Sept 2020,AMAZON,3700,6126395524,32613740120,38740135644,50,918,3500,5
Sept 2020,CANARIE,1719,481062330,32969794450,33450856780,28,6,1679,2
Sept 2020,GOOGLE,,,,,,,
Sept 2021,LESNET,647,8366698172,1246720297425,1255086995597,8,2,625,3
Sept 2021,AMAZON,15733,13433042814,86829338150,100262380964,49,1215,11381,15
Sept 2021,AKAMAI,15450,1266386489,67040559634,68306946123,51,688,10971,2
Sept 2021,UWATERLOO,47,337349746,62215819600,62553169346,6,1,47,3
Sept 2021,SHAW,864,51233053399,4019192657,55252246056,27,88,832,52
Sept 2021,EDGECAST,4751,355992240,49234815389,49590807629,48,52,4224,2
Sept 2021,GOOGLE,17929,1955881124,41503245487,43459126611,41,389,13246,8
Sept 2021,MICROSOFT,18012,4881756103,30387220492,35268976595,57,489,11848,11
Sept 2021,TWITCH,86,223585472,26212312031,26435897503,2,16,86,1
Sept 2021,LEVEL3,4012,382411723,23494327223,23876738946,37,46,3564,2
