Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,Africa-on-Cloud-AS,489,156864730271,5620539983,162485270254,4,12,2,444
Feb 2020,GOOGLE,24460,103246073824,25970523532,129216597356,461,697,14251,76
Feb 2020,APPLE,8571,55490981804,36341951614,91832933418,113,393,6932,6
Feb 2020,AKAMAI,31555,1792134567,87581060553,89373195120,525,1544,16691,4
Feb 2020,MICROSOFT,75793,25394456091,48763036997,74157493088,514,463,19229,22
Feb 2020,DROPBOX,14187,5075438574,59908334253,64983772827,128,12,10099,1
Feb 2020,ANT-CLOUD,153,33060192749,1419240280,34479433029,1,33,1,1
Feb 2020,EDGECAST,6460,350717664,22387248874,22737966538,448,114,5446,2
Feb 2020,CANARIE,4217,228503515,16757750282,16986253797,303,6,3837,2
Feb 2020,AMAZON,9941,2770308337,13862226495,16632534832,403,2187,7922,44
Apr 2020,MICROSOFT,42200,87611764097,35504541024,123116305121,328,364,17034,12
Apr 2020,AKAMAI,19096,1380036576,82592678634,83972715210,355,924,12200,2
Apr 2020,DROPBOX,13701,14162224986,61720387058,75882612044,73,13,9896,1
Apr 2020,APPLE,5364,2428348250,38208610406,40636958656,78,361,4853,4
Apr 2020,EDGECAST,5662,512563680,38475162650,38987726330,267,68,4817,2
Apr 2020,AMAZON,6239,5505748049,18689092493,24194840542,198,1604,5374,116
Apr 2020,LEVEL3,3434,275700397,22479059489,22754759886,206,85,3094,3
Apr 2020,GOOGLE,12272,9630760879,11834572538,21465333417,198,350,9171,55
Apr 2020,HIGHWINDS,4259,293100086,19723966266,20017066352,241,37,3778,2
Apr 2020,SHAW,337,13260674308,3242021425,16502695733,21,36,306,20
Sept 2020,AMAZON,18843,28726571542,692332076941,721058648483,342,3140,12661,37
Sept 2020,DROPBOX,33837,470188354078,12403798650,482592152728,101,26,15629,1
Sept 2020,APPLE,10471,7483319536,210838969789,218322289325,92,239,8792,6
Sept 2020,MICROSOFT,69310,118994395569,79372352174,198366747743,368,552,20559,14
Sept 2020,AKAMAI,37136,4273884444,192727498024,197001382468,391,1837,18042,2
Sept 2020,GOOGLE,31946,12910837993,45727516064,58638354057,287,780,16365,70
Sept 2020,HIGHWINDS,6109,935420039,47731739831,48667159870,313,54,5219,2
Sept 2020,EDGECAST,8675,679769935,46150918935,46830688870,327,98,6880,2
Sept 2020,CANARIE,7290,570542594,39771891148,40342433742,256,6,5947,2
Sept 2020,ORACLE-BMC-31898,240,12070869792,24980311236,37051181028,39,66,229,3
Sept 2021,AKAMAI,37382,3195255241,182165682916,185360938157,364,1329,17495,2
Sept 2021,MICROSOFT,58130,44981093615,111671875000,156652968615,329,637,20534,126
Sept 2021,AMAZON,39958,31468677671,70506137991,101974815662,313,2441,17281,629
Sept 2021,GOOGLE,32990,25694650895,36374435645,62069086540,297,568,16645,129
Sept 2021,LEVEL3,4978,724845035,44737134548,45461979583,196,110,4161,2
Sept 2021,DROPBOX,23835,29298713007,15265495289,44564208296,86,17,13024,1
Sept 2021,EDGECAST,5568,521511887,37465837284,37987349171,261,77,4793,2
Sept 2021,APPLE,5719,1750435431,25251558250,27001993681,93,167,5173,11
Sept 2021,HIGHWINDS,3434,540735347,25250011302,25790746649,230,32,3113,2
Sept 2021,SHAW,2575,4522089951,6841039696,11363129647,168,219,2436,26
