Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHARCNET,11,1781481726673,9567474057,1791049200730,2,1,11,1
Feb 2020,MICROSOFT,20275,7132864140,23739651315,30872515455,206,334,12057,14
Feb 2020,DROPBOX,5776,1141285649,25653614972,26794900621,43,10,5081,1
Feb 2020,AKAMAI,11891,476344683,25045555512,25521900195,216,798,9079,2
Feb 2020,CanonicalGroupLimited,2903,255749637,18047404264,18303153901,143,25,2629,2
Feb 2020,GOOGLE,11912,1286513549,13914260159,15200773708,220,376,9245,133
Feb 2020,GTTCommunicationsInc.,924,2075991045,10865936955,12941928000,5,3,911,402
Feb 2020,CANARIE,2682,131525162,10853740369,10985265531,133,6,2514,2
Feb 2020,APPLE,1461,1399670241,8165913721,9565583962,22,115,1388,4
Feb 2020,MIT-GATEWAYS,1171,151352351,7979311256,8130663607,2,2,1171,2
Apr 2020,SHAW,975,88983443602,56923620174,145907063776,8,269,749,948
Apr 2020,TELUS,661,76844876033,45589703890,122434579923,4,204,551,644
Apr 2020,GTTCommunicationsInc.,1030,110760044,22839797110,22950557154,6,3,1005,1001
Apr 2020,AKAMAI,5830,243250444,19399497334,19642747778,124,275,5101,2
Apr 2020,MIT-GATEWAYS,899,382763978,17803206741,18185970719,1,1,899,1
Apr 2020,EDGECAST,1518,152426776,13499777051,13652203827,96,29,1446,2
Apr 2020,AS22767,121,113360266,13523777394,13637137660,6,3,120,102
Apr 2020,CanonicalGroupLimited,2663,175216482,11974980529,12150197011,134,15,2459,2
Apr 2020,AMAZON,2356,393694635,9317671291,9711365926,81,514,2234,5
Apr 2020,GOOGLE,8081,1991968846,7555085764,9547054610,104,114,6841,838
Apr 2020,SHARCNET,,,,,,,,
Sept 2020,MICROSOFT,26820,71479440745,72657113470,144136554215,117,408,13411,9
Sept 2020,AMAZON,4174,2466190094,83810666566,86276856660,136,658,3815,6
Sept 2020,SHAW,234,23802762852,23270657601,47073420453,8,82,208,219
Sept 2020,CanonicalGroupLimited,3345,668380603,46107983197,46776363800,137,16,3010,2
Sept 2020,AKAMAI,8819,806075949,41713940487,42520016436,117,501,7120,2
Sept 2020,GTTCommunicationsInc.,1266,12106668208,23082035264,35188703472,5,4,1233,1024
Sept 2020,TELUS,194,20810741183,11309095316,32119836499,10,74,181,166
Sept 2020,MIT-GATEWAYS,2445,670754281,30766233915,31436988196,1,1,2445,1
Sept 2020,CALCULQUEBEC,15,106092911,27063801450,27169894361,1,4,15,1
Sept 2020,GOOGLE,10018,3239396369,23386264693,26625661062,131,314,8095,1024
Sept 2021,MICROSOFT,26073,32064952352,104397764212,136462716564,126,453,13064,7
Sept 2021,AKAMAI,10904,609920013,32492428251,33102348264,130,519,8195,2
Sept 2021,CanonicalGroupLimited,2796,286687991,32499643261,32786331252,119,19,2536,2
Sept 2021,GOOGLE,11465,2192637086,28331951128,30524588214,164,281,8616,9
Sept 2021,AMAZON,12696,7386834319,15306964091,22693798410,131,1022,9803,10
Sept 2021,GTTCommunicationsInc.,597,276459978,18979207700,19255667678,3,2,586,586
Sept 2021,LEVEL3,1491,231617769,13698122860,13929740629,71,51,1430,2
Sept 2021,AS22767,106,98049539,12306678351,12404727890,3,2,105,101
Sept 2021,EDGECAST,1744,120388045,6512637326,6633025371,90,41,1648,2
Sept 2021,UNC-CH,1096,5078784111,227797979,5306582090,1,2,1064,3
