Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,NETFLIX,45454,22094241967,1328222143535,1350316385502,752,248,16250,2
Feb 2020,APPLE,45144,104526243306,528534453359,633060696665,1156,736,15280,26
Feb 2020,CANARIE,50311,8381242092,602766056977,611147299069,1121,6,19982,2
Feb 2020,AKAMAI,124533,9796654291,558364301057,568160955348,1216,3459,22883,4
Feb 2020,GOOGLE,139312,31794242074,453855315925,485649557999,1207,1647,26284,55
Feb 2020,FACEBOOK,127331,20707931313,312151583372,332859514685,1174,187,26090,30
Feb 2020,LLNW,36999,4596134216,245724570723,250320704939,178,104,14766,3
Feb 2020,AMAZON,86456,16979006609,222372931047,239351937656,1204,7460,21993,172
Feb 2020,FASTLY,53926,4900509477,154214827810,159115337287,1144,350,19419,2
Feb 2020,LEVEL3,7912,3116433496,148551359052,151667792548,439,252,6393,2
Apr 2020,AKAMAI,125162,11366986627,650831125759,662198112386,1053,2577,21317,4
Apr 2020,NETFLIX,29145,7286256732,588887086789,596173343521,279,203,13983,2
Apr 2020,CANARIE,24589,4098300438,378139331418,382237631856,638,6,14461,2
Apr 2020,GOOGLE,83068,25404962804,326904101738,352309064542,1038,1218,24194,47
Apr 2020,FACEBOOK,64718,16517391528,228371470448,244888861976,884,103,22875,25
Apr 2020,AMAZON,44994,18955175164,221294193900,240249369064,977,6700,18298,168
Apr 2020,APPLE,19907,45940954174,192449359970,238390314144,710,659,11535,24
Apr 2020,VALVE-CORPORATION,2238,5109836861,215073304018,220183140879,66,83,1984,57
Apr 2020,BACOM,1295,5363249702,197705117470,203068367172,62,70,1228,49
Apr 2020,LLNW,49166,2703352768,144467747872,147171100640,84,60,15579,4
Sept 2020,NETFLIX,31847,17731431502,1700472075794,1718203507296,425,239,16455,2
Sept 2020,AKAMAI,129311,16003985970,1017791036152,1033795022122,1203,3314,22591,3
Sept 2020,APPLE,59229,197648712646,767923307539,965572020185,1071,963,16017,23
Sept 2020,GOOGLE,167340,80517670655,787925592824,868443263479,1184,1764,27781,49
Sept 2020,CANARIE,51887,9260222784,822456940942,831717163726,890,5,20329,2
Sept 2020,AMAZON,118473,62758868424,711373225080,774132093504,1197,9077,22582,178
Sept 2020,FACEBOOK,89282,19620939219,490615009436,510235948655,1115,144,25281,15
Sept 2020,FASTLY,39601,8113857521,468100417840,476214275361,1065,311,19255,2
Sept 2020,VALVE-CORPORATION,8481,6866036971,379267350585,386133387556,100,51,7327,45
Sept 2020,LEVEL3,7605,3143572909,247935862550,251079435459,361,224,6389,2
Sept 2021,NETFLIX,33431,15518407674,1096674030677,1112192438351,492,239,15532,2
Sept 2021,AKAMAI,148729,20460932047,1074089361653,1094550293700,1172,3046,21807,5
Sept 2021,APPLE,77464,190191697871,725259225380,915450923251,1135,615,16567,24
Sept 2021,AMAZON,123500,48937952125,575510453108,624448405233,1171,7683,21614,263
Sept 2021,GOOGLE,151947,54977930258,527856382872,582834313130,1169,1483,25023,90
Sept 2021,CANARIE,69504,8026893637,535450358396,543477252033,953,2,23899,2
Sept 2021,FASTLY,53405,8715975159,513871176724,522587151883,1113,366,19875,2
Sept 2021,LEVEL3,37105,6009824294,434772031642,440781855936,543,238,15809,2
Sept 2021,FACEBOOK,130391,25288468191,376803275562,402091743753,1139,219,24423,22
Sept 2021,VALVE-CORPORATION,4521,6337622763,272334188382,278671811145,141,77,3880,42
