Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,MICROSOFT,24864,136468633205,38922519232,175391152437,373,420,13684,17
Feb 2020,NETFLIX,5732,3237932877,137745492458,140983425335,94,193,4854,2
Feb 2020,AKAMAI,35247,2020353243,116423864921,118444218164,385,1640,16693,2
Feb 2020,GOOGLE,41597,33664300104,74163465532,107827765636,352,818,20173,18
Feb 2020,CANARIE,9845,1110795283,81548960598,82659755881,280,2,7803,2
Feb 2020,APPLE,6211,11819817214,49467854546,61287671760,165,372,5171,16
Feb 2020,FACEBOOK,19709,2967938225,49763704189,52731642414,275,87,13119,12
Feb 2020,ASN-GIGENET,76,9438046810,41238939123,50676985933,4,9,75,8
Feb 2020,EDGECAST,4846,511121977,41308136806,41819258783,351,135,4328,2
Feb 2020,AMAZON,15703,4069512410,34002654822,38072167232,345,2532,10918,18
Apr 2020,DROPBOX,12954,5706218567,92983399917,98689618484,54,11,9340,1
Apr 2020,AKAMAI,19944,1149010698,87503848520,88652859218,278,837,12527,2
Apr 2020,NETFLIX,5593,792131377,69244217401,70036348778,35,171,4970,1
Apr 2020,GOOGLE,13960,17344416449,42572302366,59916718815,200,401,10161,6
Apr 2020,CANARIE,3262,527028408,55343197594,55870226002,109,2,2988,2
Apr 2020,APPLE,3413,9716084745,26266360760,35982445505,87,155,3060,8
Apr 2020,EDGECAST,4422,344487538,31964919343,32309406881,202,69,3913,2
Apr 2020,TWITCH,1343,355354527,21918422259,22273776786,8,16,1314,1
Apr 2020,HIGHWINDS,3772,342047481,20816609106,21158656587,188,35,3409,2
Apr 2020,LEVEL3,2638,204225480,18970578836,19174804316,145,101,2452,2
Sept 2020,AMAZON,24169,24748215424,243741240056,268489455480,247,2838,13503,18
Sept 2020,APPLE,11860,24121616127,152535871699,176657487826,132,285,7766,23
Sept 2020,GOOGLE,39465,13896398052,162367767897,176264165949,223,818,18862,9
Sept 2020,NETFLIX,3450,1718666432,151835861167,153554527599,43,214,3166,1
Sept 2020,AKAMAI,26334,2131413645,101534287051,103665700696,258,1442,14264,3
Sept 2020,CANARIE,5614,1043982802,85672770159,86716752961,166,6,4923,2
Sept 2020,LEVEL3,2073,928342550,75675227560,76603570110,121,121,1964,2
Sept 2020,FASTLY,5786,976416296,61716795446,62693211742,164,207,5144,2
Sept 2020,FACEBOOK,10900,2622269535,59983513907,62605783442,163,51,8602,6
Sept 2020,DROPBOX,21394,47040831271,5985031237,53025862508,53,18,12694,1
Sept 2021,DROPBOX,13014,3615263342,155272276505,158887539847,54,15,9074,1
Sept 2021,NETFLIX,4509,1782653884,130218600818,132001254702,63,195,4004,1
Sept 2021,GOOGLE,32531,32709096737,91775320829,124484417566,217,752,16554,9
Sept 2021,AKAMAI,26753,2303294462,113140105021,115443399483,226,1388,13905,2
Sept 2021,AMAZON,31890,20010624550,84013607432,104024231982,219,2501,15029,20
Sept 2021,APPLE,9272,13699872071,65684517868,79384389939,140,235,7104,17
Sept 2021,CANARIE,8903,1035458033,66770131937,67805589970,147,2,7173,2
Sept 2021,FACEBOOK,17485,5424087809,62365135061,67789222870,182,93,12271,8
Sept 2021,LEVEL3,1934,584139993,52473176414,53057316407,132,136,1830,2
Sept 2021,FASTLY,6274,882113956,43824830437,44706944393,184,187,5501,2
