Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,AKAMAI,691066,56341656445,1734779732797,1791121389242,487,6933,32937,3
Feb 2020,MICROSOFT,1078033,487326343360,721839704239,1209166047599,471,1561,33402,56
Feb 2020,GOOGLE,449792,79973327294,537471467923,617444795217,414,3048,31014,117
Feb 2020,APPLE,53771,102922510974,478275749394,581198260368,116,667,17624,23
Feb 2020,CANARIE,133981,9164314309,562704293884,571868608193,348,8,21936,2
Feb 2020,AMAZON,240085,78258123080,471948490243,550206613323,409,15725,25946,636
Feb 2020,EDGECAST,108375,4527705839,260941398248,265469104087,441,383,18546,2
Feb 2020,LEVEL3,36016,4948499853,258879385263,263827885116,280,317,14248,3
Feb 2020,HIGHWINDS,82675,4958266493,254453767672,259412034165,401,188,17545,2
Feb 2020,UUNET-CANADA,227,6389443188,222684872932,229074316120,22,6,224,2
Apr 2020,AKAMAI,624212,53668167293,2720665739391,2774333906684,295,6852,33666,3
Apr 2020,AMAZON,273160,478227866152,1440024314483,1918252180635,195,19738,24318,1202
Apr 2020,MICROSOFT,1065856,605473722104,1054652212948,1660125935052,276,2582,40646,51
Apr 2020,EDGECAST,175196,14871711591,1075570940875,1090442652466,244,326,18441,2
Apr 2020,GOOGLE,467598,186982826289,709547889137,896530715426,175,2516,52079,49
Apr 2020,HIGHWINDS,132215,10202243063,659107136188,669309379251,228,165,18297,2
Apr 2020,LEVEL3,108568,9631652011,639132287184,648763939195,215,319,17027,5
Apr 2020,APPLE,51856,39821210459,572446827451,612268037910,70,909,16165,21
Apr 2020,CANARIE,55797,9961659319,571047388875,581009048194,127,7,16882,2
Apr 2020,DROPBOX,165208,247092380504,219630650424,466723030928,85,24,25958,1
Sept 2020,AMAZON,493935,1213230853775,10166566714000,11379797567775,263,27622,27503,1197
Sept 2020,MICROSOFT,1903545,1652754326825,3127701147633,4780455474458,280,4660,40583,56
Sept 2020,AKAMAI,773515,75910778853,3875039377016,3950950155869,279,7124,30785,2
Sept 2020,ORACLE-BMC-31898,10143,581908941054,1319390946739,1901299887793,72,2147,7602,2
Sept 2020,GOOGLE,585781,367108908849,1392134973916,1759243882765,234,3498,35723,26
Sept 2020,APPLE,90002,84596324859,1619188282816,1703784607675,85,746,16600,21
Sept 2020,EDGECAST,230251,16431783409,1200578034821,1217009818230,252,341,19620,2
Sept 2020,CANARIE,70747,12758884286,861328638510,874087522796,200,3,18692,2
Sept 2020,LEVEL3,162946,12255933363,773098860026,785354793389,202,346,17149,3
Sept 2020,HIGHWINDS,162310,9822969915,628037524050,637860493965,245,166,18433,2
Sept 2021,MICROSOFT,1982452,773211667425,2528812080723,3302023748148,270,3681,55807,25
Sept 2021,AKAMAI,715280,46269058886,2457499588383,2503768647269,280,5073,26830,3
Sept 2021,AMAZON,988220,733864121618,1577112945480,2310977067098,246,15497,26009,792
Sept 2021,GOOGLE,520054,339654933680,864538905861,1204193839541,239,2418,29051,27
Sept 2021,LEVEL3,107997,10531825505,615615701184,626147526689,193,326,17118,3
Sept 2021,EDGECAST,115640,6790002971,510020276574,516810279545,210,233,17694,2
Sept 2021,APPLE,53256,13304066081,394042124611,407346190692,78,297,17196,9
Sept 2021,CANARIE,51602,5380431999,386779118101,392159550100,116,6,18442,2
Sept 2021,HIGHWINDS,81174,5773416802,327899730912,333673147714,201,129,16924,2
Sept 2021,DROPBOX,171438,61529091862,270403078178,331932170040,96,20,21655,1
