Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,AKAMAI,128654,5277473898,223887782263,229165256161,14,1868,18401,2
Feb 2020,MICROSOFT,93875,64580170294,73341034208,137921204502,14,503,18412,9
Feb 2020,TELUS,280,14167957657,60785725702,74953683359,15,93,200,90
Feb 2020,AMAZON,34532,7090199394,55478227389,62568426783,14,2871,15612,14
Feb 2020,GOOGLE,41299,5123892551,54290537036,59414429587,14,597,16264,12
Feb 2020,HIGHWINDS,20705,756981405,43509961002,44266942407,14,57,11425,2
Feb 2020,DROPBOX,14033,35070326887,6864443935,41934770822,14,13,9612,1
Feb 2020,Vetenskapsradet/SUNET,391,393179864,38244891195,38638071059,4,2,390,99
Feb 2020,CLOUDFLARENET,11036,577536430,37619657761,38197194191,14,1381,8723,3
Feb 2020,CANARIE,11236,558275273,35744540703,36302815976,14,2,8158,2
Apr 2020,AKAMAI,58838,5628400179,330724207622,336352607801,14,736,17289,2
Apr 2020,SHAW,1221,182739911438,43519426071,226259337509,11,736,49,1147
Apr 2020,EDGECAST,26659,1544045949,182260508828,183804554777,14,47,13183,2
Apr 2020,TELUS,969,117669889627,32402853683,150072743310,11,551,57,890
Apr 2020,CLOUDFLARENET,5834,350769862,139459296344,139810066206,14,286,4992,2
Apr 2020,HIGHWINDS,22316,1332598752,108479884481,109812483233,14,26,12114,2
Apr 2020,LEVEL3,28506,1439605205,106075672584,107515277789,14,58,13417,2
Apr 2020,MICROSOFT,63313,35459906355,40515972906,75975879261,14,397,17117,10
Apr 2020,AMAZON,12548,33218040926,38921937648,72139978574,14,1347,8886,14
Apr 2020,AS22767,10929,237567009,31299335807,31536902816,3,1,7969,1
Sept 2020,AMAZON,52130,154544847575,2796915866938,2951460714513,15,2875,17880,20
Sept 2020,SHAW,787,572407408576,186586734008,758994142584,13,497,98,732
Sept 2020,TELUS,758,405622681647,150873434991,556496116638,12,390,243,531
Sept 2020,AKAMAI,88690,7795943598,331391912135,339187855733,14,1405,18190,2
Sept 2020,CLOUDFLARENET,41956,8641090543,249027617933,257668708476,14,749,16513,3
Sept 2020,APPLE,7184,3064709171,245996553270,249061262441,14,134,5031,9
Sept 2020,MICROSOFT,147787,88255341921,158197230192,246452572113,14,506,18023,13
Sept 2020,EDGECAST,35977,1374604324,146092687893,147467292217,14,81,14712,2
Sept 2020,LEVEL3,22374,1391271152,101337943185,102729214337,14,113,12201,2
Sept 2020,HIGHWINDS,25908,1117762354,97101541020,98219303374,14,35,13030,2
Sept 2021,MICROSOFT,174555,92182446118,743578646812,835761092930,14,959,21440,8
Sept 2021,TELUS,1986,379438131185,108460256685,487898387870,16,454,1349,608
Sept 2021,SHAW,8848,312709236976,158571298469,471280535445,16,716,6256,680
Sept 2021,AKAMAI,160304,10833251408,447528266090,458361517498,14,1571,18119,2
Sept 2021,GOOGLE,70606,89284134834,194510346791,283794481625,15,637,17187,10
Sept 2021,AMAZON,263254,97544168376,173489719300,271033887676,14,4685,19194,28
Sept 2021,FORTINET,16047,1844672705,161402646145,163247318850,14,10,11362,3
Sept 2021,LEVEL3,28282,1883366998,118804302969,120687669967,14,113,13175,2
Sept 2021,EDGECAST,26991,1295431544,111499696226,112795127770,14,94,13207,2
Sept 2021,DROPBOX,24655,67067721502,24889621831,91957343333,14,15,13130,1
