Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,APPLE,1403681,2168852675045,9425871077515,11594723752560,262,2124,18354,28
Feb 2020,NETFLIX,530281,215096005412,10842400042815,11057496048227,261,431,32647,2
Feb 2020,AKAMAI,2982614,199506192334,9518501118710,9718007311044,261,16743,39825,8
Feb 2020,CANARIE,989959,129516410100,8321145833176,8450662243276,261,4,35411,2
Feb 2020,FACEBOOK,4310130,462163294247,7773861883995,8236025178242,261,499,35434,795
Feb 2020,GOOGLE,3791987,906898342914,6664415190614,7571313533528,263,7388,41619,310
Feb 2020,AMAZON,2437196,367594396443,4034711107708,4402305504151,262,48317,36534,1692
Feb 2020,FASTLY,1242873,101129040974,2953177676849,3054306717823,261,966,33775,2
Feb 2020,LEVEL3,93073,50602661694,2311114454191,2361717115885,261,705,21683,16
Feb 2020,MICROSOFT,1377749,1008763869939,1185172387205,2193936257144,262,3155,34237,292
Apr 2020,NETFLIX,252283,72986055686,5936113264599,6009099320285,261,293,26758,2
Apr 2020,AKAMAI,1033538,95015923717,5365955780281,5460971703998,261,9221,36025,13
Apr 2020,GOOGLE,1077227,484324270536,3870291612968,4354615883504,263,3565,39090,580
Apr 2020,CANARIE,323520,51721156331,4267980927896,4319702084227,261,7,31116,2
Apr 2020,FACEBOOK,951053,284508439772,3468040102261,3752548542033,261,346,33836,492
Apr 2020,APPLE,294347,1194793844182,2425459962750,3620253806932,262,1943,17327,27
Apr 2020,LEVEL3,135998,42034454616,3521939966385,3563974421001,261,563,21303,6
Apr 2020,AMAZON,562401,281636647903,2298583428290,2580220076193,263,31740,33733,1525
Apr 2020,EDGECAST,188994,18306885909,1479130610456,1497437496365,261,412,33106,2
Apr 2020,VALVE-CORPORATION,17236,40223122189,1340289500803,1380512622992,245,174,11019,60
Sept 2020,APPLE,521727,1873711145067,6899305326523,8773016471590,261,2036,17079,26
Sept 2020,NETFLIX,214216,118096493015,8608278369306,8726374862321,261,338,27909,2
Sept 2020,AKAMAI,1268315,168342186342,8064944889077,8233287075419,261,9177,34316,12
Sept 2020,GOOGLE,1519564,1679789478097,5473673330552,7153462808649,263,4972,39983,296
Sept 2020,AMAZON,1005679,983364018012,5509293171491,6492657189503,262,39995,33830,1478
Sept 2020,FACEBOOK,907730,280638521917,4870847829462,5151486351379,261,396,33223,269
Sept 2020,CANARIE,325659,61494883119,4667778868660,4729273751779,261,6,30979,2
Sept 2020,FASTLY,339150,29149853848,1975370865134,2004520718982,261,723,30899,2
Sept 2020,VALVE-CORPORATION,19680,48357766556,1755256703176,1803614469732,243,113,11262,62
Sept 2020,LEVEL3,63812,26262269408,1761109719866,1787371989274,261,381,17837,6
Sept 2021,APPLE,2360936,4737419954455,15745018560524,20482438514979,260,2206,19596,26
Sept 2021,AMAZON,3696205,2484672547621,17958134300980,20442806848601,262,58225,38433,2210
Sept 2021,AKAMAI,3965123,387719263413,18978605559390,19366324822803,261,13014,38957,14
Sept 2021,NETFLIX,692920,283328147385,18830111417249,19113439564634,260,409,30390,2
Sept 2021,GOOGLE,4981903,1996900975443,11035400701999,13032301677442,261,8969,45745,402
Sept 2021,CANARIE,1605703,141256784508,10583567459158,10724824243666,260,4,35400,2
Sept 2021,FACEBOOK,4033618,688932532742,9022275019533,9711207552275,260,755,34165,446
Sept 2021,FASTLY,1222703,168158091805,8682309120406,8850467212211,260,1412,32412,2
Sept 2021,LEVEL3,184300,93657242888,5494500341999,5588157584887,261,562,21046,20
Sept 2021,MICROSOFT,1862478,1233111088558,2586421873711,3819532962269,261,6434,33268,374
