Week,TargetOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,NETFLIX,36318,18287890202,1086491897468,1104779787670,697,248,15175,2
Feb 2020,AKAMAI,102263,8339594685,492884952824,501224547509,1141,4097,24587,5
Feb 2020,CANARIE,40614,6603226493,461842528011,468445754504,951,7,18347,3
Feb 2020,APPLE,40458,90265503091,362921253915,453186757006,1095,836,15365,25
Feb 2020,GOOGLE,115817,21608436943,355285935162,376894372105,1131,1914,26521,46
Feb 2020,FACEBOOK,105992,14086901671,268668528877,282755430548,1105,181,25638,41
Feb 2020,CHINAUNICOMChina169Backbone,69971,4592651513,231236499852,235829151365,229,598,16278,279
Feb 2020,AMAZON,73702,65850296648,164529942304,230380238952,1151,6810,22396,83
Feb 2020,Africa-on-Cloud-AS,40,161428848361,6597892026,168026740387,2,7,17,1
Feb 2020,FASTLY,42035,3398164324,102677679408,106075843732,1031,426,18814,2
Apr 2020,NETFLIX,23036,5614058953,495338821905,500952880858,260,232,12691,1
Apr 2020,AKAMAI,70915,5125032266,297192660193,302317692459,953,2780,23081,3
Apr 2020,GOOGLE,71969,27502584851,272117607260,299620192111,939,1476,24218,23
Apr 2020,CANARIE,21857,2969929845,287504530509,290474460354,525,6,13618,3
Apr 2020,APPLE,16966,55261223857,185009458695,240270682552,660,549,10722,20
Apr 2020,FACEBOOK,53519,10629274496,186798396622,197427671118,764,139,22628,21
Apr 2020,AMAZON,42155,41884126077,119122290588,161006416665,889,6131,19085,87
Apr 2020,VALVE-CORPORATION,2248,4193805033,141156526922,145350331955,71,85,1990,56
Apr 2020,TWITCH,43226,1186092056,77409828900,78595920956,26,52,15729,1
Apr 2020,HIGHWINDS,11521,1253031901,74992360661,76245392562,439,77,8819,2
Sept 2020,NETFLIX,26412,16495799722,1528191594305,1544687394027,377,255,14844,2
Sept 2020,AMAZON,110867,1020175802809,509447807973,1529623610782,1051,9196,23302,60
Sept 2020,APPLE,49584,137920542222,675151934653,813072476875,960,1103,15656,25
Sept 2020,AKAMAI,105817,10508815965,663514064666,674022880631,1047,3590,23032,4
Sept 2020,GOOGLE,130865,76932897949,573893412087,650826310036,1045,2176,26584,57
Sept 2020,CANARIE,28619,6054173701,525608285599,531662459300,691,5,15283,3
Sept 2020,FACEBOOK,67806,20083168149,351450053486,371533221635,955,157,23885,16
Sept 2020,FASTLY,28149,2483178682,193927909972,196411088654,870,440,16705,2
Sept 2020,TWITCH,2086,1642176392,150765243835,152407420227,45,49,2026,1
Sept 2020,DatacampLimited,14646,1697024407,145695066959,147392091366,474,74,9929,6
Sept 2021,SHARCNET,17815,6698389527587,38832856071,6737222383658,3,5,11539,2
Sept 2021,NETFLIX,37101,18290313414,1119739283709,1138029597123,416,259,17068,1
Sept 2021,APPLE,79385,224954048045,751391505684,976345553729,962,747,16791,25
Sept 2021,AKAMAI,153226,19565404941,844502265405,864067670346,1006,3530,24067,4
Sept 2021,GOOGLE,184301,96472699905,730792586856,827265286761,1007,1753,29115,1606
Sept 2021,AMAZON,137506,73346752284,633333503684,706680255968,1010,9946,26182,107
Sept 2021,CANARIE,92990,10278297835,629970239077,640248536912,765,4,25346,3
Sept 2021,FACEBOOK,138183,48835026189,428474938817,477309965006,971,285,26255,32
Sept 2021,LEVEL3,7266,8069878205,408012928422,416082806627,436,324,5977,4
Sept 2021,FASTLY,43869,7079275911,389038800228,396118076139,944,520,19971,2
