Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHAW,200642,174924136436,10861407486,185785543922,7811,62,25446,30
Feb 2020,TELUS,153746,134152465449,6937632285,141090097734,5919,59,27276,30
Feb 2020,Chinanet,66866,55633168849,3394811103,59027979952,2291,28,38059,23
Feb 2020,OVHSAS,11724,23985197300,1257672881,25242870181,1042,71,7927,19
Feb 2020,K2TelecomeMultimidiaLTDAME,21403,19409115288,703291987,20112407275,596,6,7118,4
Feb 2020,GOOGLE,15367,16495652247,594614344,17090266591,1684,67,12043,66
Feb 2020,MICROSOFT,11905,15451350737,252180450,15703531187,807,42,8834,10
Feb 2020,COMCAST-7922,5657,14991307085,432125529,15423432614,2018,40,4715,15
Feb 2020,TWIDCLimited,22567,14108959986,462854634,14571814620,8,1,12683,1
Feb 2020,Africa-on-Cloud-AS,5111,13149862333,452814252,13602676585,8,3,3816,2
Apr 2020,SHAW,560201,550288500444,16667775046,566956275490,10311,46,29768,19
Apr 2020,TELUS,382326,372423142635,16192497196,388615639831,7765,58,33904,26
Apr 2020,OVHSAS,23540,61152530470,3189790538,64342321008,1387,78,11704,13
Apr 2020,TEKSAVVY,17770,31756519829,486013387,32242533216,486,23,11166,6
Apr 2020,COMCAST-7922,13108,30480311024,483626931,30963937955,4193,37,9433,7
Apr 2020,WASHINGTON-AS,21,29933074827,115571897,30048646724,6,3,21,3
Apr 2020,BACOM,12977,23785311618,1223875672,25009187290,1635,33,9518,10
Apr 2020,GOOGLE,18555,19364136485,676392821,20040529306,1991,40,14032,12
Apr 2020,YANDEXLLC,8804,18835495552,150526915,18986022467,125,21,6798,2
Apr 2020,MICROSOFT,14713,17455192302,1083720955,18538913257,1021,41,10463,10
Sept 2020,SHAW,557851,606763665943,20413262025,627176927968,14187,66,32306,43
Sept 2020,TELUS,433439,563062117054,20182236137,583244353191,11269,65,39605,46
Sept 2020,ChinaMobilecommunicationscorporation,433,170819467156,5509637439,176329104595,75,19,351,8
Sept 2020,OVHSAS,11291,163674922149,4626614145,168301536294,1221,41,8665,11
Sept 2020,COMCAST-7922,22603,90748748223,3396535317,94145283540,6902,35,12576,9
Sept 2020,"WENZHOU,ZHEJIANGProvince,P.R.China.",102,47834184096,2839049548,50673233644,4,6,39,5
Sept 2020,ATT-INTERNET4,11327,40882662168,1195604404,42078266572,2929,26,6821,6
Sept 2020,HetznerOnlineGmbH,5042,34830595523,667897346,35498492869,332,26,4483,8
Sept 2020,tops.netGmbH&Co.KG,22,31993711730,685796354,32679508084,1,3,22,3
Sept 2020,AMAZON,6189,17126298042,9801638571,26927936613,1441,94,5274,119
Sept 2021,TELUS,268587,288262175824,70403711153,358665886977,7602,64,29213,50
Sept 2021,SHAW,303543,283425957053,12149348013,295575305066,8180,46,24482,25
Sept 2021,AMAZON,5970,21689929442,10635720529,32325649971,991,100,5297,159
Sept 2021,PTTelekomunikasiIndonesia,16325,29324253082,603172770,29927425852,2573,15,13882,4
Sept 2021,STEADFAST,2383,27046681136,842173067,27888854203,64,4,1914,3
Sept 2021,PhilippineLongDistanceTelephoneCompany,13318,26981523911,509297467,27490821378,2829,10,11800,3
Sept 2021,ASN-QUADRANET-GLOBAL,1635,18429597080,531106272,18960703352,53,11,1410,3
Sept 2021,MICROSOFT,11689,16744452101,2196289862,18940741963,759,41,2582,21
Sept 2021,SOFTLAYER,2610,17622035954,819402759,18441438713,53,13,2143,3
Sept 2021,YANDEXLLC,7391,16862531094,142382858,17004913952,229,18,5908,2
