Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,Chinanet,63845,59957654354,2723800454,62681454808,580,13,37180,17
Feb 2020,GOOGLE,12514,32637744009,874797535,33512541544,515,26,10275,13
Feb 2020,SOFTLAYER,148,6274274470,19673378429,25947652899,49,7,141,71
Feb 2020,TELUS,13051,13604330252,7428216543,21032546795,3007,17,9559,4
Feb 2020,TWIDCLimited,28216,13937484528,450666678,14388151206,8,1,13509,1
Feb 2020,GlobeTelecoms,8172,13274829957,428170019,13702999976,23,3,5742,2
Feb 2020,OVHSAS,4506,13191086831,397873902,13588960733,333,129,4012,4
Feb 2020,Africa-on-Cloud-AS,4857,13042425176,431508297,13473933473,7,1,3813,1
Feb 2020,SHAW,17162,11317347565,383744272,11701091837,3976,21,11433,6
Feb 2020,K2TelecomeMultimidiaLTDAME,12226,11189664961,458569772,11648234733,536,2,5917,2
Apr 2020,GOOGLE,17181,51366035994,43829790282,95195826276,744,24,13205,32
Apr 2020,HUAWEICLOUDS,3342,20203247882,273942992,20477190874,865,10,3192,3
Apr 2020,OVHSAS,4819,17886517143,759574241,18646091384,549,25,4286,3
Apr 2020,SHAW,3845,9034615953,1457026908,10491642861,766,22,3357,4
Apr 2020,TELUS,2331,6818345059,204753288,7023098347,569,20,2206,3
Apr 2020,COMCAST-7922,2739,5474164455,84718687,5558883142,929,13,2209,4
Apr 2020,UPNETIXTELECOM,338,4755493182,196055343,4951548525,8,1,337,1
Apr 2020,HosteamS.c.TomaszGroszewskiBartoszWaszakLukaszGroszewski,142,4670142686,183669453,4853812139,4,1,142,1
Apr 2020,GlobeTelecoms,330,4397991533,147295991,4545287524,7,2,330,2
Apr 2020,MICROSOFT,1912,4309735727,50594056,4360329783,495,19,1675,4
Sept 2020,OVHSAS,1272,22646937670,1311246129,23958183799,304,5,1064,4
Sept 2020,GOOGLE,7557,11208737667,839853489,12048591156,159,14,6690,7
Sept 2020,ChinaMobilecommunicationscorporation,31,8112585239,494192324,8606777563,14,2,28,2
Sept 2020,TELUS,510,3000517581,3099676389,6100193970,128,14,474,8
Sept 2020,ScanPlusGmbH,19,4344601228,246576957,4591178185,1,1,19,1
Sept 2020,"HangzhouAlibabaAdvertisingCo.,Ltd.",33,3575431139,209119133,3784550272,23,5,30,3
Sept 2020,tops.netGmbH&Co.KG,11,3504202218,185798316,3690000534,1,1,11,1
Sept 2020,COMCAST-7922,1162,3476729611,128717956,3605447567,877,7,170,4
Sept 2020,RailTelCorporationofIndiaLtd,3,1870647392,1664272269,3534919661,1,1,3,3
Sept 2020,HetznerOnlineGmbH,82,2922371830,128978100,3051349930,34,6,67,3
Sept 2021,AMAZON,145,18160772212,4924810362,23085582574,64,14,104,35
Sept 2021,CNSERVERS,72,9808893334,760694579,10569587913,8,2,72,2
Sept 2021,MICROSOFT,1349,7277746818,569492828,7847239646,80,6,421,6
Sept 2021,YISUCLOUDLTD,95,4364273078,658809822,5023082900,2,1,94,1
Sept 2021,GREYPANELPTELTD,40,4459902568,156828672,4616731240,1,1,40,1
Sept 2021,SHAW,105,2257437914,1949270832,4206708746,35,8,102,8
Sept 2021,OVHSAS,971,3217643503,423524338,3641167841,164,4,810,5
Sept 2021,ContaboGmbH,126,3149764596,177342990,3327107586,1,1,126,1
Sept 2021,EmiratesTelecommunicationsCorporation,57,1104887436,2130787134,3235674570,28,3,6,3
Sept 2021,"HangzhouZhiYuNetworkTechnologyCo.,Ltd.",14,2760230946,204443151,2964674097,1,1,14,1
