Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,AMAZON,14011,136463310005,684543575,137147853580,2412,14,11167,11
Feb 2020,GOOGLE,7305,35010447968,448289934,35458737902,775,16,6533,6
Feb 2020,SHAW,7253,20335262410,5291170263,25626432673,713,26,6175,154
Feb 2020,MICROSOFT,4658,7764343113,881386390,8645729503,429,13,4186,9
Feb 2020,TELUS,3924,7028353503,938884876,7967238379,451,25,3468,40
Feb 2020,COMCAST-7922,1743,7680219867,59343543,7739563410,581,7,1664,2
Feb 2020,UWATERLOO,47,69610173,6894485003,6964095176,11,4,27,23
Feb 2020,YANDEXLLC,3048,6132824972,88917779,6221742751,55,6,2939,2
Feb 2020,DIGITALOCEAN-ASN,818,5172084176,67291623,5239375799,114,9,801,3
Feb 2020,Fastweb,447,5014423029,91050772,5105473801,54,4,446,2
Apr 2020,SHAW,15426,71577924873,11398138484,82976063357,992,36,10772,660
Apr 2020,VodafoneIndiaLtd.,248,55989438798,932234694,56921673492,45,5,225,2
Apr 2020,RelianceJioInfocommLimited,1056,50715072569,1562066334,52277138903,286,8,1039,3
Apr 2020,FRONTIER-FRTR,219,50703209820,651811595,51355021415,34,6,219,2
Apr 2020,TELUS,8555,19800868792,1835632045,21636500837,660,26,7141,16
Apr 2020,UWATERLOO,30,99048889,21155494480,21254543369,1,1,1,30
Apr 2020,COMCAST-7922,4364,19485787215,79642885,19565430100,681,9,4030,5
Apr 2020,AMAZON,5896,16417741615,930078675,17347820290,330,21,5525,32
Apr 2020,REDHAT-0,8,92787371,17130476988,17223264359,1,1,1,8
Apr 2020,GOOGLE,8252,16202669258,376096459,16578765717,749,16,7288,10
Sept 2020,SHAW,25620,440898430583,20077797891,460976228474,1149,36,14174,156
Sept 2020,AMAZON,9069,33919646025,1438518644,35358164669,587,26,8388,22
Sept 2020,GOOGLE,9839,22088661808,9399316401,31487978209,748,16,8468,14
Sept 2020,TELUS,13464,25325153362,4117695445,29442848807,821,29,9922,15
Sept 2020,WOW,25557,22767291677,317985661,23085277338,8,7,11820,2
Sept 2020,HUAWEICLOUDS,4458,22231457527,279703476,22511161003,170,5,4149,2
Sept 2020,COMCAST-7922,2337,17577451796,69702731,17647154527,620,7,2233,2
Sept 2020,YahooJapanCorporation,236,12899046172,57481275,12956527447,16,1,236,1
Sept 2020,UWATERLOO,26,59031879,12160257363,12219289242,3,3,3,25
Sept 2020,HetznerOnlineGmbH,10513,9187348402,1501715653,10689064055,219,8,9618,2
Sept 2021,LESNET,2,1268145817,156263225768,157531371585,1,1,1,2
Sept 2021,TELUS,6065,75771466508,2440726330,78212192838,649,27,5264,10
Sept 2021,SHAW,8087,61250322384,1507819746,62758142130,807,36,6634,68
Sept 2021,AMAZON,9113,26765722085,4405109084,31170831169,667,21,8116,69
Sept 2021,IndianInstituteOfScienceEducationAndResearch,1,20860124358,240352017,21100476375,1,1,1,1
Sept 2021,OVHSAS,21829,16950939269,361851162,17312790431,176,8,11238,3
Sept 2021,GOOGLE,8586,15048078490,378801120,15426879610,871,14,7500,6
Sept 2021,YANDEXLLC,4762,11114127779,125881669,11240009448,217,9,4126,2
Sept 2021,MICROSOFT,4148,9857085165,561349695,10418434860,356,18,1404,28
Sept 2021,HUAWEICLOUDS,1595,9080394737,72687509,9153082246,241,6,1549,2
