Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,Chinanet,198748,167677592350,8683386749,176360979099,1062,14,40974,9
Feb 2020,OVHSAS,139315,75161837427,2272026247,77433863674,934,24,21640,171
Feb 2020,K2TelecomeLtd,59502,55597313508,2290376814,57887690322,543,5,6341,1
Feb 2020,TWIDCLimited,73976,47034435866,1540967076,48575402942,8,3,14971,1
Feb 2020,GlobeTelecoms,22204,35367678457,1153828528,36521506985,8,4,5783,2
Feb 2020,Africa-on-Cloud-AS,15650,34416303890,1164199101,35580502991,9,6,3976,2
Feb 2020,APPLE,32972,31028959010,407825796,31436784806,391,3,23922,4
Feb 2020,"SmartBroadband,Inc.",23305,21334361351,692421887,22026783238,5,4,4614,2
Feb 2020,HURRICANE,37717,15935177929,321113223,16256291152,13,13,13175,3
Feb 2020,WorkBandaLarga,13938,14999651722,581951073,15581602795,164,5,1785,1
Apr 2020,OVHSAS,79472,53199608292,4006586815,57206195107,1084,46,27059,17
Apr 2020,SHAW,860,23680279971,11677945314,35358225285,67,25,773,28
Apr 2020,HURRICANE,51118,29729533027,558396484,30287929511,15,13,13805,4
Apr 2020,DataWebGlobal.,66227,21375105182,442963062,21818068244,32,10,27826,4
Apr 2020,COMCAST-7922,6966,19255242450,1679181962,20934424412,723,35,4196,11
Apr 2020,TELUS,335,4476829116,14215108561,18691937677,56,33,260,20
Apr 2020,APPLE,19370,17263848618,192290493,17456139111,54,4,15881,4
Apr 2020,AMAZON,3960,7042570972,7415846459,14458417431,402,71,3231,114
Apr 2020,HetznerOnlineGmbH,3528,9651141566,215147290,9866288856,127,22,2880,12
Apr 2020,WOW,20481,9510361308,192471835,9702833143,2,2,10855,1
Sept 2020,SHAW,366,57220034332,79889960614,137109994946,70,20,254,33
Sept 2020,OVHSAS,221147,105441411838,4459072306,109900484144,787,35,26085,14
Sept 2020,TELUS,416,38189289488,61852133034,100041422522,89,22,156,17
Sept 2020,SEMrushCYLTD,192408,38854986500,1073422489,39928408989,38,8,31669,4
Sept 2020,HUAWEICLOUDS,41307,32284192522,607912314,32892104836,123,16,23260,5
Sept 2020,HURRICANE,60095,24312863143,506311064,24819174207,17,10,13921,4
Sept 2020,AMAZON,5016,12575908209,8713809110,21289717319,529,60,3972,94
Sept 2020,COMCAST-7922,10147,19669167553,577286983,20246454536,1672,30,2310,8
Sept 2020,ChinaMobileCo.,276,17166062677,965509980,18131572657,36,9,220,6
Sept 2020,VFDFV.Deutschen,1012,14352775481,46561834,14399337315,60,7,994,2
Sept 2021,OVHSAS,204401,55007575847,1812775067,56820350914,269,22,14693,7
Sept 2021,SHAW,620,32785816890,21060542494,53846359384,81,37,537,35
Sept 2021,HURRICANE,101007,51930268303,1029254527,52959522830,11,9,14110,2
Sept 2021,SEMrushCYLTD,200113,47269215447,1279201038,48548416485,39,8,31694,4
Sept 2021,STEADFAST,4531,39966276570,1672589127,41638865697,57,2,2194,1
Sept 2021,AMAZON,15589,19542437057,11569906743,31112343800,716,77,9720,124
Sept 2021,SOFTLAYER,4668,25392649791,1602330130,26994979921,33,7,2127,3
Sept 2021,QUADRANET-GLOBAL,2954,25357819256,1037181875,26395001131,24,4,1520,3
Sept 2021,IWEB-AS,2379,18892265700,806896860,19699162560,13,2,1158,1
Sept 2021,HVC-AS,1672,16166952934,596879877,16763832811,8,2,895,1
