Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,YORKU-AS,4,130430295426,761710582,131192006008,1,1,4,1
Feb 2020,UCB,5851,34103591225,350275239,34453866464,2,5,4822,1
Feb 2020,JINOfficeServiceInc.,40932,31679424791,788792345,32468217136,1,1,20588,1
Feb 2020,TELUS,14874,28195597719,1824332055,30019929774,1078,42,11186,28
Feb 2020,SHAW,44415,26476308823,1785859564,28262168387,1420,40,16432,34
Feb 2020,COMCAST-7922,15973,21046589148,162982684,21209571832,218,18,12967,6
Feb 2020,MICROSOFT,12569,12261829402,5848983956,18110813358,179,31,10688,14
Feb 2020,ASN-CXA-ALL-CCI-22773-RDC,1068,13954547871,65248079,14019795950,61,9,1060,5
Feb 2020,ROGERS,24411,13476813163,427622824,13904435987,383,21,14207,5
Feb 2020,A1TelekomAustriaAG,20376,12082749484,389296567,12472046051,15,4,12164,2
Apr 2020,SHAW,179097,282681464171,75036198708,357717662879,6841,67,20480,282
Apr 2020,BACOM,116108,224651599434,5587287914,230238887348,433,16,17239,7
Apr 2020,TELUS,47126,112689251522,53447342516,166136594038,5141,57,20617,190
Apr 2020,ATT-INTERNET4,71133,98099702092,1473547342,99573249434,165,17,16424,4
Apr 2020,TDBANK,38343,90468809850,508476736,90977286586,10,1,28221,1
Apr 2020,CENTURYLINK-US-LEGACY-QWEST,65082,68816152825,1665365762,70481518587,77,12,37022,4
Apr 2020,TWC-20001-PACWEST,28959,54928019273,272207579,55200226852,58,14,13802,3
Apr 2020,CHSPSC-29766,32774,50250119365,656977469,50907096834,2,2,24336,2
Apr 2020,COMCAST-7922,57500,45428034011,574340285,46002374296,396,22,16859,8
Apr 2020,SW-ORG-AS,34164,38022526613,906765487,38929292100,1,1,24521,1
Sept 2020,UCB,356380,1234449556182,11053218794,1245502774976,3,2,14124,2
Sept 2020,TELUS,110461,218834205351,51624601634,270458806985,6801,60,22877,73
Sept 2020,SHAW,100806,158056940412,30113307761,188170248173,8347,56,20213,80
Sept 2020,COMCAST-7922,118973,121656997326,1557874986,123214872312,1319,26,28602,23
Sept 2020,TURNITIN,5491,116799914768,1052337592,117852252360,6,14,4948,2
Sept 2020,ATHABASCA-U,289,2041875036,115561183036,117603058072,5,6,6,283
Sept 2020,GOOGLE,63706,106772217378,1915823605,108688040983,931,44,33904,26230
Sept 2020,NORTHWESTEL-INC,141268,99764434067,1123453050,100887887117,219,21,19559,4
Sept 2020,MICROSOFT,30314,60080227136,21897913976,81978141112,1054,45,22259,16
Sept 2020,AHS,26527,39865226448,6297675566,46162902014,357,24,21323,43
Sept 2021,ChinaEducationandResearchNetworkCenter,157,249929201465,3685852853,253615054318,41,4,157,1
Sept 2021,GOOGLE,18106,44853626793,1142013817,45995640610,1001,35,13697,11
Sept 2021,TELUS,41380,41008790842,3256722142,44265512984,6160,46,18713,28
Sept 2021,AMAZON,7395,30949448099,3024052356,33973500455,874,38,6387,31
Sept 2021,SHAW,45739,26350741925,2764017782,29114759707,7143,42,17491,21
Sept 2021,HetznerOnlineGmbH,4207,28722712431,362605152,29085317583,294,13,3778,4
Sept 2021,HUAWEICLOUDS,3899,18176783495,125086440,18301869935,244,8,3682,2
Sept 2021,SERVER-MANIA,5967,16918946288,132540175,17051486463,111,5,4937,2
Sept 2021,VereinzurFoerderungeinesDeutschenForschungsnetzese.V.,3310,13733846479,2870841411,16604687890,60,6,3026,2
Sept 2021,DIGITALOCEAN-ASN,7168,16476991967,114432549,16591424516,121,18,5655,3
