Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHAW,118,15087199716,19009335398,34096535114,86,71,60,57
Feb 2020,TELUS,100,13796097343,14516959185,28313056528,72,62,49,34
Feb 2020,ATT-INTERNET4,106,8432913431,6409953850,14842867281,86,16,37,25
Feb 2020,COMCAST-7922,172,7859850601,6505645060,14365495661,159,26,68,35
Feb 2020,Chinanet,2700,2420212490,5175940163,7596152653,2383,59,1883,473
Feb 2020,COGENT-174,18,6157504572,652414431,6809919003,7,5,8,14
Feb 2020,U-ALBERTA,6,3388353484,3226196147,6614549631,2,3,1,1
Feb 2020,i3D.netB.V,43,2125245650,4238467576,6363713226,35,15,41,31
Feb 2020,FACEBOOK,112,2881242168,3318443448,6199685616,39,80,36,106
Feb 2020,APPLE,47,2620796113,3360649841,5981445954,31,42,19,13
Apr 2020,NVIDIA,77,1278755988,117827407070,119106163058,3,5,77,4
Apr 2020,CHINAUNICOMChina169Backbone,1949,68851053500,1489217725,70340271225,988,25,1409,66
Apr 2020,Chinanet,4169,41576499831,8347021962,49923521793,3234,43,3514,434
Apr 2020,SHAW,234,17281674832,12754826807,30036501639,156,40,185,63
Apr 2020,"IDC,ChinaTelecommunicationsCorporation",218,26967217374,291492754,27258710128,92,8,33,71
Apr 2020,ChinaUnicomBeijingProvinceNetwork,382,15604026246,1738170806,17342197052,205,22,244,24
Apr 2020,AMAZON,205,4069687875,11970445199,16040133074,124,82,65,184
Apr 2020,TELUS,179,7638369438,5951034761,13589404199,140,34,140,42
Apr 2020,ExtremeBroadband-TotalBroadbandExperience,25,5326058182,6949049496,12275107678,1,2,24,25
Apr 2020,AS40676,48,440171058,10128976467,10569147525,34,19,6,47
Sept 2020,SHAW,262,72468954724,68880558055,141349512779,140,114,150,84
Sept 2020,TELUS,176,31292217452,27565438556,58857656008,108,90,119,50
Sept 2020,AMAZON,491,6109748607,31087875847,37197624454,311,213,25,485
Sept 2020,i3D.netB.V,70,10892964703,25985510070,36878474773,59,25,14,70
Sept 2020,BACOM,112,16675891880,16713986551,33389878431,60,46,69,30
Sept 2020,Xs4allInternetBV,2,14336497851,14287608218,28624106069,1,2,2,2
Sept 2020,COMCAST-7922,31,9855302025,7961621968,17816923993,25,14,21,14
Sept 2020,ORACLE-BMC-31898,117,2370857886,15290252529,17661110415,78,63,1,117
Sept 2020,CHINAUNICOMChina169Backbone,958,5674826110,9927142568,15601968678,463,18,711,30
Sept 2020,ROGERS,93,6448319992,5948961611,12397281603,78,32,90,13
Sept 2021,TELUS,242,58777120535,62491700320,121268820855,166,114,190,63
Sept 2021,SHAW,182,50241477567,46411858036,96653335603,120,93,105,53
Sept 2021,AMAZON,607,4447334514,28414504010,32861838524,326,266,46,594
Sept 2021,COMCAST-7922,30,9720492022,11763208979,21483701001,26,15,16,14
Sept 2021,UVIC-AS,5,8010385678,7134772895,15145158573,5,5,1,1
Sept 2021,ROGERS,78,6275006880,5910906642,12185913522,70,49,72,24
Sept 2021,BACOM,69,5156483903,6380424641,11536908544,55,32,38,18
Sept 2021,PERFORMIVE,37,695857907,10100025924,10795883831,27,14,13,25
Sept 2021,BatelcoJordan,8,5173790223,5185349036,10359139259,1,4,8,1
Sept 2021,UninetS.A.deC.V.,17,5484176810,4809863473,10294040283,10,9,14,13
