Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,WhatboxInc.,3,287494155,28223853875,28511348030,3,1,3,1
Feb 2020,Rostelecom,314,475861219,25229219850,25705081069,109,2,256,3
Feb 2020,JSCER-TelecomHolding,73,202031704,20090509081,20292540785,43,1,56,2
Feb 2020,ASN-GIGENET,15,2428097760,16177474530,18605572290,5,2,5,13
Feb 2020,2COMCoLtd.,31,145300254,17938709022,18084009276,4,1,31,3
Feb 2020,SHAW,196,13087096050,1330131536,14417227586,84,34,180,58
Feb 2020,KyivstarPJSC,31,140949165,14024495618,14165444783,13,1,29,1
Feb 2020,JSCUfanet,18,74594772,13433190575,13507785347,5,2,18,2
Feb 2020,RECONNLLC,2,706119269,12781323421,13487442690,2,1,2,1
Feb 2020,ExtremeLtd,7,140791163,11917257218,12058048381,1,1,7,1
Apr 2020,ChinaTelecom(Group),1938,22827095996,4724857946,27551953942,291,9,789,47
Apr 2020,Chinanet,10832,12420357378,14906787190,27327144568,2729,17,4247,119
Apr 2020,SHAW,868,11368063709,1196032757,12564096466,112,24,792,70
Apr 2020,DeutscheTelekomAG,35,4623542980,5627885590,10251428570,12,2,31,20
Apr 2020,ChinaMobilecommunicationscorporation,1444,5607134818,4192840823,9799975641,246,9,568,32
Apr 2020,TELUS,184,5597361443,1310102188,6907463631,97,23,143,49
Apr 2020,"ShanghaiMobileCommunicationsCo.,Ltd.",320,2798962564,2818666526,5617629090,49,3,96,10
Apr 2020,GuangdongMobileCommunicationCo.Ltd.,1330,4002895922,1272485149,5275381071,268,5,591,30
Apr 2020,PRIVATESYSTEMS,3,58987432,4731441462,4790428894,1,1,1,3
Apr 2020,StarhubLtd,14,4460219272,193065662,4653284934,5,3,5,4
Sept 2020,TELUS,240,44303254808,18985942981,63289197789,84,22,231,24
Sept 2020,SHAW,459,21104501602,20590213916,41694715518,99,33,433,45
Sept 2020,NForceEntertainmentB.V.,101,20015947618,787382772,20803330390,5,1,101,1
Sept 2020,ASN-SRCMTL,16,15986156899,149206136,16135363035,1,1,16,1
Sept 2020,AlexhostSrl,71,8993875040,684546956,9678421996,4,1,71,1
Sept 2020,AMAZON,150,2278645414,6190259704,8468905118,123,31,26,66
Sept 2020,GlobalLayerB.V.,445,5064062959,655183862,5719246821,17,1,441,1
Sept 2020,COLTTechnologyServicesGroupLimited,527,5135383942,79469852,5214853794,1,1,521,1
Sept 2020,COMCAST-7922,25,2487921830,2248042324,4735964154,17,8,21,8
Sept 2020,PERFORMIVE,5,820901459,3566784427,4387685886,4,1,2,5
Sept 2021,SHAW,179,14182597488,69914530244,84097127732,67,24,168,29
Sept 2021,TELUS,725,9941959868,10471860346,20413820214,67,29,698,18
Sept 2021,AMAZON,119,2392758515,7684146959,10076905474,80,45,19,113
Sept 2021,BatelcoJordan,6,4099842256,4466648369,8566490625,1,2,6,1
Sept 2021,ProenCorpPublicCompanyLimited.,1782,4328625136,1740140306,6068765442,32,1,1759,1
Sept 2021,MTS-ASN,4,1849024087,1338912299,3187936386,2,2,2,2
Sept 2021,FreeSAS,3,800763771,1238692192,2039455963,1,1,3,3
Sept 2021,EASTLINK-HSI,10,576653919,1204307018,1780960937,8,2,10,3
Sept 2021,i3D.netB.V,77,554027729,1187820905,1741848634,15,8,8,77
Sept 2021,MICROSOFT,19,705773345,981263072,1687036417,12,7,7,16
