Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,Chinanet,129642,89596138683,6961918896,96558057579,868,18,39977,831
Feb 2020,SHAW,14935,21494756172,14175428892,35670185064,840,50,9776,424
Feb 2020,TWIDCLimited,44458,26058593990,971328369,27029922359,8,2,14578,1
Feb 2020,Africa-on-Cloud-AS,10407,25948131770,867131298,26815263068,8,2,3946,1
Feb 2020,TELUS,7120,19753103213,6996369780,26749472993,519,39,5615,544
Feb 2020,AMAZON,1156,6804723614,12751279626,19556003240,394,49,639,810
Feb 2020,GlobeTelecoms,14093,17586722824,741546531,18328269355,7,2,5758,1
Feb 2020,GOOGLE,1877,8488997485,8372543369,16861540854,171,46,1689,171
Feb 2020,"SmartBroadband,Inc.",14614,15294226948,499686231,15793913179,4,2,4612,1
Feb 2020,MICROSOFT,1795,9821805455,5933043551,15754849006,263,40,1601,99
Apr 2020,AMAZON,7660,205186255301,603762092747,808948348048,2360,48,547,5947
Apr 2020,SHAW,84403,224115271048,117860166435,341975437483,1806,59,18179,824
Apr 2020,TELUS,56153,187056833130,68173963780,255230796910,1327,56,17107,710
Apr 2020,MICROSOFT,2523,41641822162,85848950027,127490772189,817,34,724,220
Apr 2020,ORACLE-BMC-31898,606,21312045529,70093734634,91405780163,177,20,2,589
Apr 2020,GOOGLE,3005,14346956742,18788809298,33135766040,107,32,2775,108
Apr 2020,SOFTLAYER,62,617506932,20216196178,20833703110,24,18,27,47
Apr 2020,OVHSAS,5512,16243978073,1155849752,17399827825,425,21,4821,35
Apr 2020,RIOT-NA1,718,4228407984,12319541687,16547949671,188,8,258,697
Apr 2020,TEKSAVVY,3162,6693319168,2585029408,9278348576,79,13,2920,33
Sept 2020,AMAZON,4384,164283679352,406394766574,570678445926,2141,76,602,3560
Sept 2020,SHAW,91082,305783390630,223971595668,529754986298,1811,53,17931,1090
Sept 2020,MICROSOFT,3752,155588325751,241378996177,396967321928,1580,40,548,449
Sept 2020,TELUS,64901,204937215888,140070526885,345007742773,1466,48,18299,616
Sept 2020,ORACLE-BMC-31898,985,58274900297,148567941501,206842841798,547,44,3,952
Sept 2020,NLM-GW,1,17639808,96121713096,96139352904,1,1,1,1
Sept 2020,GOOGLE,3848,27802408893,5448842404,33251251297,137,36,3513,90
Sept 2020,OVHSAS,1281,22044692756,1594627044,23639319800,297,15,1028,17
Sept 2020,TEKSAVVY,3306,13842724096,9332870438,23175594534,80,19,3002,129
Sept 2020,TWITCH,1,17356023085,273868448,17629891533,1,1,1,1
Sept 2021,MICROSOFT,4097,108444027858,260963614448,369407642306,1417,36,48,309
Sept 2021,AMAZON,3346,88090278227,263396612783,351486891010,682,78,342,3027
Sept 2021,SHAW,43254,89598804108,65917725300,155516529408,1508,45,15767,525
Sept 2021,TELUS,30958,89170408308,59632454058,148802862366,1432,37,14442,278
Sept 2021,ORACLE-BMC-31898,121,3546386517,13038797793,16585184310,73,23,1,121
Sept 2021,GOOGLE,117,7829008279,3957977626,11786985905,30,26,62,67
Sept 2021,TEKSAVVY,1214,2706762867,3229771980,5936534847,48,13,1158,27
Sept 2021,CIKTELECOM-CABLE,107,4821044667,170816223,4991860890,6,5,107,31
Sept 2021,RIOT-NA1,175,1063318318,3643751151,4707069469,105,6,129,175
Sept 2021,144.195.40.0,17,213178230,3415741221,3628919451,1,7,1,17
