Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHAW,692,98594521026,29562996499,128157517525,333,4,676,6
Feb 2020,TELUS,481,64028258331,24202948429,88231206760,216,4,471,3
Feb 2020,AHS,116,4969379450,3878062074,8847441524,44,3,116,2
Feb 2020,Vetenskapsradet/SUNET,107,74179376,5090786736,5164966112,1,2,67,107
Feb 2020,OoredooQ.S.C.,15,3438052168,1352273759,4790325927,9,2,15,3
Feb 2020,VELOCITYNET-01,2,3772183157,371329448,4143512605,1,1,2,1
Feb 2020,AMAZON,881,1046039978,2310889463,3356929441,21,14,10,698
Feb 2020,CHINAUNICOMChina169Backbone,29,1674429411,521098446,2195527857,8,3,29,5
Feb 2020,ROGERS,11,1353498129,126978226,1480476355,8,5,11,5
Feb 2020,CIPHERKEY,10,1001085406,254023965,1255109371,6,2,10,1
Apr 2020,SHAW,4231,453766576273,128096313932,581862890205,1410,6,3727,21
Apr 2020,TELUS,2956,327835657010,103406134186,431241791196,986,7,2697,12
Apr 2020,CIPHERKEY,79,20885702726,2195004285,23080707011,24,4,79,2
Apr 2020,TEKSAVVY,145,9866862428,2754141987,12621004415,55,3,144,1
Apr 2020,OoredooQ.S.C.,13,3360017634,4707631318,8067648952,6,1,13,1
Apr 2020,AMAZON,584,1791392887,4745984786,6537377673,36,13,9,382
Apr 2020,AHS,25,4111188373,421635264,4532823637,10,3,25,2
Apr 2020,BARR-XPLR-ASN,36,3045318669,610771007,3656089676,16,2,36,1
Apr 2020,BACOM,11,1209943190,2262762497,3472705687,4,3,10,2
Apr 2020,PRIMUS-AS6407,30,3062215141,327811634,3390026775,14,2,30,1
Sept 2020,SHAW,4150,2389445447845,836505693414,3225951141259,1424,10,3693,27
Sept 2020,TELUS,3467,1708991950052,548162184548,2257154134600,1111,10,3147,21
Sept 2020,TEKSAVVY,148,54843130153,17171883362,72015013515,49,2,147,1
Sept 2020,CIPHERKEY,68,56284696256,15398488419,71683184675,21,2,68,1
Sept 2020,CIKTELECOM-CABLE,24,40383198289,4292859069,44676057358,8,2,24,1
Sept 2020,TWC-11426-CAROLINAS,8,41445306206,1493927805,42939234011,1,1,8,1
Sept 2020,AHS,52,18332222824,18221258874,36553481698,20,3,52,2
Sept 2020,Chinanet,9,32388032576,1319627230,33707659806,7,1,9,1
Sept 2020,ROGERS,34,20084543661,7844228826,27928772487,21,6,34,8
Sept 2020,OoredooQ.S.C.,17,12945747299,12160674788,25106422087,4,1,17,1
Sept 2021,TELUS,2528,1106979577138,426702335362,1533681912500,982,9,2339,102
Sept 2021,SHAW,3021,1079134722603,358169611418,1437304334021,1076,10,2753,30
Sept 2021,PEGTECHINC,1,2291150936,193979791772,196270942708,1,1,1,1
Sept 2021,UniversityofQueensland,2,56379724655,3373319034,59753043689,1,1,2,1
Sept 2021,CIPHERKEY,52,38041059639,7708148973,45749208612,24,2,52,1
Sept 2021,TEKSAVVY,94,29578777650,9753060047,39331837697,39,4,94,3
Sept 2021,CIKTELECOM-CABLE,18,12462913847,20815424227,33278338074,8,2,18,1
Sept 2021,MICROSOFT,194,12619793301,18966316017,31586109318,111,13,5,69
Sept 2021,ChinaUnicomBeijingProvinceNetwork,70,27186166451,3689892235,30876058686,11,1,70,1
Sept 2021,AMAZON,514,7471314854,17176200753,24647515607,115,16,17,500
