Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,SHAW,5403,194080501204,232798958518,426879459722,2573,265,2381,2316
Feb 2020,TELUS,3020,137880592873,156417270639,294297863512,1644,264,1574,1583
Feb 2020,PERFORMIVE,2576,11838952227,104055389475,115894341702,335,248,134,729
Feb 2020,BACOM,1930,46552982027,50886992259,97439974286,1470,239,1487,1460
Feb 2020,ROGERS,1893,39378808926,47249802514,86628611440,1354,230,1486,1475
Feb 2020,FACEBOOK,2810,35944041677,48657718158,84601759835,119,262,676,2485
Feb 2020,APPLE,1410,41414381339,42068582023,83482963362,211,257,21,410
Feb 2020,Chinanet,15974,10663079265,51578978629,62242057894,10416,241,8573,3796
Feb 2020,COMCAST-7922,2791,27201146153,26952253408,54153399561,2432,223,1407,1252
Feb 2020,M247Ltd,301,7510670159,45047253274,52557923433,126,118,100,197
Apr 2020,SHAW,2070,121696931180,115459700580,237156631760,754,243,1260,938
Apr 2020,NVIDIA,108,2151944751,226347773700,228499718451,19,20,89,6
Apr 2020,AMAZON,3697,54916441300,146464194311,201380635611,1672,262,561,3239
Apr 2020,TELUS,1221,76088470772,69417089288,145505560060,561,218,913,623
Apr 2020,Chinanet,20541,19326264343,99388329466,118714593809,16884,187,15297,4498
Apr 2020,DIGITALOCEAN,198,19108405670,76055740402,95164146072,97,100,162,182
Apr 2020,FACEBOOK,1246,35627134527,50661960769,86289095296,106,241,272,1107
Apr 2020,PERFORMIVE,334,5751610025,55374057844,61125667869,112,80,108,190
Apr 2020,AS40676,357,8896732671,41581064597,50477797268,192,140,20,341
Apr 2020,Tencent,1465,22399889633,24184750804,46584640437,471,230,394,1258
Sept 2020,SHAW,2546,339783596772,350093475102,689877071874,1018,260,1841,1633
Sept 2020,AMAZON,5308,107473576219,361806741869,469280318088,2462,265,250,4557
Sept 2020,TELUS,1856,208591299036,214421567784,423012866820,751,257,1369,1095
Sept 2020,ORACLE-BMC,1437,51742920548,170357410332,222100330880,713,252,1,1367
Sept 2020,i3D.netB.V,214,29625546733,104235029315,133860576048,185,93,18,212
Sept 2020,PERFORMIVE,154,9274249487,100845620058,110119869545,49,54,42,107
Sept 2020,ROGERS,509,42190231612,43147120420,85337352032,324,131,405,378
Sept 2020,BACOM,610,24759220734,30705287722,55464508456,392,161,467,452
Sept 2020,COMCAST-7922,488,21644335012,23617211999,45261547011,321,85,232,176
Sept 2020,Xs4allInternetBV,6,29327175049,11994483308,41321658357,1,4,6,6
Sept 2021,AMAZON,34541,391363415388,1986237891975,2377601307363,2716,263,919,15463
Sept 2021,SHAW,5201,1040610329962,1209995755868,2250606085830,2752,262,3064,2974
Sept 2021,TELUS,4994,844361638801,959753623175,1804115261976,2376,262,3225,3065
Sept 2021,MICROSOFT,4692,136987287731,398976817683,535964105414,1918,260,200,612
Sept 2021,ROGERS,1462,133013536917,133390070491,266403607408,1040,223,1091,1068
Sept 2021,BACOM,1805,115326060072,123342581733,238668641805,1264,242,1232,1231
Sept 2021,APPLE,1198,92946833539,122796071664,215742905203,307,255,21,21
Sept 2021,PERFORMIVE,1616,46701623306,159460661861,206162285167,286,236,88,947
Sept 2021,COMCAST-7922,996,96027441204,90807403241,186834844445,741,185,715,699
Sept 2021,SASKTEL,204,70061436001,65592249404,135653685405,101,104,97,74
