Week,SourceOrgs,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
Feb 2020,GOOGLE,13096,34104239471,2527336123,36631575594,611,109,10612,99
Feb 2020,SHAW,17478,19540281612,14973005162,34513286774,4151,82,11496,43
Feb 2020,TELUS,13191,14331598542,5814535418,20146133960,3101,70,9592,34
Feb 2020,Chinanet,2782,8913557800,3518931166,12432488966,1770,70,1879,133
Feb 2020,PERFORMIVE,208,1914387379,8984950764,10899338143,54,17,161,17
Feb 2020,CHINAUNICOMChina169Backbone,1485,6812435842,3488172931,10300608773,993,51,1227,57
Feb 2020,OnlineS.a.s.,749,9424179508,84366252,9508545760,38,11,734,3
Feb 2020,MICROSOFT,3293,7856888050,487101850,8343989900,506,38,3016,27
Feb 2020,Ask4Limited,91,4637948169,3455880189,8093828358,54,10,70,16
Feb 2020,MobileOneLtd.Mobile/InternetServiceProviderSingapore,4,2814883440,3865492595,6680376035,3,4,3,4
Apr 2020,GOOGLE,18020,50748125265,2356352148,53104477413,770,61,13640,58
Apr 2020,NVIDIA,15,607679372,34256641288,34864320660,2,2,15,3
Apr 2020,HUAWEICLOUDS,3342,20208706477,274002669,20482709146,866,11,3192,2
Apr 2020,TELUS,2514,14117732363,5473779014,19591511377,607,60,2339,59
Apr 2020,AMAZON,1173,4839912888,12038524110,16878436998,640,91,1011,174
Apr 2020,COMCAST-7922,1407,15609779740,568040237,16177819977,587,23,1349,15
Apr 2020,Chinanet,2298,8613094211,6484817423,15097911634,1679,48,1805,252
Apr 2020,SHAW,4303,9890036944,2393199876,12283236820,826,63,3711,53
Apr 2020,MICROSOFT,1775,6050983344,2129885809,8180869153,444,32,1546,35
Apr 2020,CHINAUNICOMChina169Backbone,1046,7402261911,642340972,8044602883,473,35,696,47
Sept 2020,SHAW,979,69093284918,53793583591,122886868509,240,116,852,71
Sept 2020,TELUS,923,24503975120,22034781310,46538756430,209,90,849,56
Sept 2020,AMAZON,558,10361327543,22346603781,32707931324,378,181,132,365
Sept 2020,BACOM,218,8721476930,8654457668,17375934598,69,43,122,20
Sept 2020,i3D.netB.V,14,8282223261,8948996676,17231219937,14,11,7,14
Sept 2020,GOOGLE,8500,12233765730,595294373,12829060103,213,49,7376,41
Sept 2020,ORACLE-BMC-31898,88,1925471359,9217692708,11143164067,56,46,1,88
Sept 2020,Chinanet,1121,1290734670,6784129667,8074864337,770,32,1004,76
Sept 2020,COMCAST-7922,160,3671800703,3197175601,6868976304,82,17,152,16
Sept 2020,TE-AS,16,3724579133,1578149772,5302728905,5,7,4,3
Sept 2021,UCB,80483,345363728483,3099036920,348462765403,2,3,14114,1
Sept 2021,SHAW,6940,124174920053,79970618528,204145538581,2680,110,5787,87
Sept 2021,TELUS,8809,86308934753,70292155181,156601089934,2434,122,7593,72
Sept 2021,NORTHWESTEL-INC,2028,70338786276,572599446,70911385722,159,10,1930,3
Sept 2021,HongKongBroadbandNetworkLtd.,64,28459924993,28426818189,56886743182,34,8,54,6
Sept 2021,BOSTONU-AS,2,306233253,40222892832,40529126085,1,1,2,1
Sept 2021,AMAZON,2593,5839951573,27780945391,33620896964,645,210,1970,576
Sept 2021,ATT-INTERNET4,703,32119163279,306549561,32425712840,150,16,684,8
Sept 2021,GOOGLE,37974,26345635475,2867500581,29213136056,512,61,19098,12784
Sept 2021,MICROSOFT,32469,20341220916,2242103546,22583324462,330,39,1516,76
